"ID","Module / Feature","Edge Case Title","Preconditions / Setup","Trigger / Test Input","Expected Result / System Behavior","Severity / Impact","Status / Resolution"
"EC-001","Gold Micro-Savings","Fractional Micro-Gold Float Rounding","User auto-stashes small roundup amounts (e.g. ₹15)","Daily UPI roundup transaction triggered","Enforces 4-decimal float guard (e.g. 0.0020g) to prevent IEEE 754 precision loss and loan underwriting rounding errors","High","Handled via 4-decimal floor string formatter"
"EC-002","Gold Micro-Savings","Rapid Double-Tap on Stash Gold CTA","Active session, balance ₹500","User double-taps 'Stash ₹100 Gold' button within 200ms","Button is disabled instantly on first tap (idempotency key sent); only single transaction processes","Medium","Handled via UI disable & idempotency token"
"EC-003","Gold Micro-Savings","Zero or Negative Deposit Attempt","Save Screen loaded","User manually inputs ₹0 or negative value in custom amount input","CTA button disabled; inline error message 'Minimum stash amount is ₹10'","Low","Validated client-side & server-side"
"EC-004","Gold Micro-Savings","Gold Price Slippage During Transaction","Buy order initiated at ₹7,485.50/g","Market gold rate updates to ₹7,510.00/g before payment confirmation","App displays slippage warning if price increases >0.5%; prompts user to re-confirm updated gold weight","High","Slippage guard window of 30 seconds"
"EC-005","Flash Borrow & LTV","Sudden Market Crash (-12.4% LTV Dropped)","User has active ₹18,000 loan against 14.825g gold","Simulated market price drop of 12.4%","Margin call alert triggered; freezes new credit line extension; prompts micro-stash top-up without forced liquidation","Critical","Simulated via Edge Case Simulator"
"EC-006","Flash Borrow & LTV","Credit Request Exceeding Unlocked LTV","Unlocked limit ₹94,327","User attempts custom borrow input of ₹1,00,000","Slider/Input auto-clamps to ₹94,327 max limit with helper tooltip 'Maximum 85% LTV reached'","High","Enforced by slider constraints"
"EC-007","Flash Borrow & LTV","Zero Collateral Borrow Attempt","New user with 0g gold in vault","User navigates to Borrow tab and clicks 'Flash Borrow'","Borrow button disabled; banner prompts 'Stash gold or claim starter gift to unlock credit line'","High","Onboarding vault check enforced"
"EC-008","Flash Borrow & LTV","KYC Expiry on High Value Loan (>₹1 Lakh)","Basic Video-KYC user attempts loan","User selects ₹1,50,000 borrow slider value","Blocks transaction; opens DigiLocker re-verification modal while preserving selected loan slider state","High","Handled via DigiLocker inline modal"
"EC-009","Flash Borrow & LTV","Extreme Gold Price Drop (>25% Liquidation Breach)","Active loan at 85% LTV","Gold price crashes >25% continuously for 48 hours","System sends push/SMS alerts; 24-hour grace window given to deposit collateral before partial automated liquidation","Critical","Safeguard policy active"
"EC-010","Flash Borrow & LTV","Partial Loan Repayment Calculation","Active loan of ₹18,000 at 0.79%/mo APR","User repays ₹10,000 mid-billing cycle","Daily interest recalculates instantly on remaining ₹8,000 balance; unlocked credit limit updates immediately","Medium","Real-time interest engine calculation"
"EC-011","Squad Vault & Referrals","Squad Member Withdrawal & Tier Drop","Squad gold pool at 52.45g (Bonus +1.70% APY unlocked)","Squad member withdraws 8.0g, dropping total to 44.45g (<50g threshold)","48-hour grace period badge stays active; squad notified to invite new member before APY multiplier resets to base level","High","48-hour grace period logic"
"EC-012","Squad Vault & Referrals","Invalid or Expired Squad Code Input","Referral screen active","User enters non-existent squad code 'INVALID99'","Shows error banner 'Invalid squad code. Check code and try again'; prevents joining","Medium","Code validation against backend API"
"EC-013","Squad Vault & Referrals","Maximum Squad Capacity Reached","Squad has 4/4 active members","5th member tries to join squad code 'AXYR'","Displays 'Squad Vault Full (4/4)' message; prompts user to create a new squad or request invite to another squad","Low","Squad member limit check"
